text;topic;predicted;extra;not_predicted
2899;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
6154;администрация и управление;администрация и управление,строительство и архитектура,право;право,строительство и архитектура;
6453;администрация и управление;администрация и управление,строительство,транспорт,строительство и архитектура;строительство,транспорт,строительство и архитектура;
9210;путешествия,политика и общественная жизнь;путешествия;;политика и общественная жизнь
8778;администрация и управление;политика и общественная жизнь;политика и общественная жизнь;администрация и управление
2040;природа;природа;;
6652;политика и общественная жизнь;политика и общественная жизнь;;
5308;право;право;;
11636;производство;экономика;экономика;производство
1785;администрация и управление;администрация и управление,политика и общественная жизнь;политика и общественная жизнь;
10132;образование;образование;;
879;криминал;бизнес,экономика,криминал,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;
248;администрация и управление;администрация и управление;;
8703;наука и технологии;наука и технологии;;
302;криминал;политика и общественная жизнь;политика и общественная жизнь;криминал
2085;происшествия;происшествия;;
3896;администрация и управление,лесное хозяйство;администрация и управление;;лесное хозяйство
6027;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
6778;право,политика и общественная жизнь;политика и общественная жизнь,право;;
1272;право;право;;
5997;образование;политика и общественная жизнь,образование;политика и общественная жизнь;
3214;политика и общественная жизнь;политика и общественная жизнь;;
3355;экономика,бизнес,бизнес, коммерция, экономика, финансы;дом и домашнее хозяйство;дом и домашнее хозяйство;бизнес,экономика,бизнес, коммерция, экономика, финансы
5688;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
1387;право;политика и общественная жизнь;политика и общественная жизнь;право
2806;наука и технологии;политика и общественная жизнь;политика и общественная жизнь;наука и технологии
4813;наука и технологии;здоровье и медицина;здоровье и медицина;наука и технологии
2828;спорт;спорт;;
10329;частная жизнь;частная жизнь;;
7326;здоровье и медицина;здоровье и медицина;;
545;досуг, зрелища и развлечения,политика и общественная жизнь;искусство и культура;искусство и культура;политика и общественная жизнь,досуг, зрелища и развлечения
11486;частная жизнь;искусство и культура,частная жизнь;искусство и культура;
7256;искусство и культура;искусство и культура;;
6415;производство;производство;;
592;происшествия;происшествия;;
9358;политика и общественная жизнь;политика и общественная жизнь;;
756;происшествия;криминал;криминал;происшествия
10560;частная жизнь,религия;религия;;частная жизнь
3107;производство;администрация и управление;администрация и управление;производство
5334;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы
10464;строительство и архитектура,строительство;строительство,строительство и архитектура;;
7281;право,экономика,бизнес,бизнес, коммерция, экономика, финансы,политика и общественная жизнь;политика и общественная жизнь,право;;бизнес,экономика,бизнес, коммерция, экономика, финансы
4377;искусство и культура;искусство и культура;;
8297;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
2532;криминал;криминал;;
1812;политика и общественная жизнь;политика и общественная жизнь;;
2322;здоровье и медицина,статистика,наука и технологии;здоровье и медицина;;наука и технологии,статистика
3791;политика и общественная жизнь;политика и общественная жизнь;;
8384;образование,искусство и культура;искусство и культура;;образование
9616;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
2015;досуг, зрелища и развлечения;бизнес,бизнес, коммерция, экономика, финансы;бизнес,бизнес, коммерция, экономика, финансы;досуг, зрелища и развлечения
2496;природа,политика и общественная жизнь;политика и общественная жизнь;;природа
6722;производство;бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;производство
7758;образование;образование;;
5906;политика и общественная жизнь;политика и общественная жизнь;;
11022;экономика,бизнес,бизнес, коммерция, экономика, финансы;экономика;;бизнес,бизнес, коммерция, экономика, финансы
10942;частная жизнь;политика и общественная жизнь;политика и общественная жизнь;частная жизнь
11791;криминал;право;право;криминал
11474;история,политика и общественная жизнь;политика и общественная жизнь;;история
1944;политика и общественная жизнь;политика и общественная жизнь;;
1388;религия;религия;;
7893;политика и общественная жизнь;политика и общественная жизнь;;
7503;строительство и архитектура,техника,строительство;политика и общественная жизнь;политика и общественная жизнь;техника,строительство и архитектура,строительство
5855;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы
8298;политика и общественная жизнь;политика и общественная жизнь;;
7696;искусство и культура;искусство и культура;;
5869;право,администрация и управление;транспорт,право,спорт;спорт,транспорт;администрация и управление
6350;политика и общественная жизнь;политика и общественная жизнь;;
11245;сельское хозяйство;администрация и управление,бизнес,экономика,бизнес, коммерция, экономика, финансы;бизнес,экономика,администрация и управление,бизнес, коммерция, экономика, финансы;сельское хозяйство
5701;политика и общественная жизнь;спорт;спорт;политика и общественная жизнь
829;путешествия;политика и общественная жизнь;политика и общественная жизнь;путешествия
5193;досуг, зрелища и развлечения,искусство и культура;искусство и культура;;досуг, зрелища и развлечения
11188;энергетика,экономика,бизнес,бизнес, коммерция, экономика, финансы;энергетика;;бизнес,экономика,бизнес, коммерция, экономика, финансы
1858;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
2080;дом и домашнее хозяйство;дом и домашнее хозяйство;;
10028;энергетика,администрация и управление;строительство,энергетика;строительство;администрация и управление
2152;искусство и культура;искусство и культура;;
3812;администрация и управление;бизнес;бизнес;администрация и управление
5950;строительство и архитектура,строительство;администрация и управление;администрация и управление;строительство и архитектура,строительство
9230;экономика,сельское хозяйство,бизнес,бизнес, коммерция, экономика, финансы;администрация и управление;администрация и управление;бизнес,экономика,сельское хозяйство,бизнес, коммерция, экономика, финансы
537;частная жизнь;политика и общественная жизнь;политика и общественная жизнь;частная жизнь
4100;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
1240;политика и общественная жизнь;строительство и архитектура;строительство и архитектура;политика и общественная жизнь
5480;религия;религия;;
1861;спорт;спорт;;
7099;образование;образование,армия и вооруженные конфликты;армия и вооруженные конфликты;
5615;дом и домашнее хозяйство;дом и домашнее хозяйство;;
4393;политика и общественная жизнь;политика и общественная жизнь;;
8865;политика и общественная жизнь;образование;образование;политика и общественная жизнь
9659;администрация и управление;политика и общественная жизнь;политика и общественная жизнь;администрация и управление
9449;армия и вооруженные конфликты;политика и общественная жизнь;политика и общественная жизнь;армия и вооруженные конфликты
8681;частная жизнь;строительство и архитектура;строительство и архитектура;частная жизнь
11391;политика и общественная жизнь;политика и общественная жизнь;;
825;политика и общественная жизнь;администрация и управление,политика и общественная жизнь;администрация и управление;
5095;политика и общественная жизнь;политика и общественная жизнь;;
2567;здоровье и медицина;здоровье и медицина;;
8059;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
10139;администрация и управление,экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;;бизнес,экономика,администрация и управление
9787;строительство и архитектура,строительство;строительство,строительство и архитектура;;
3258;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
4612;право;бизнес,экономика,право,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;
11418;искусство и культура;искусство и культура;;
11518;частная жизнь;частная жизнь;;
10729;администрация и управление;частная жизнь;частная жизнь;администрация и управление
11477;частная жизнь;частная жизнь;;
1291;здоровье и медицина;политика и общественная жизнь;политика и общественная жизнь;здоровье и медицина
7617;путешествия;политика и общественная жизнь,право;политика и общественная жизнь,право;путешествия
2435;транспорт,спорт;политика и общественная жизнь,транспорт,спорт;политика и общественная жизнь;
8489;политика и общественная жизнь;политика и общественная жизнь;;
3845;политика и общественная жизнь;политика и общественная жизнь;;
1969;администрация и управление;политика и общественная жизнь;политика и общественная жизнь;администрация и управление
5590;политика и общественная жизнь;техника;техника;политика и общественная жизнь
1087;частная жизнь,наука и технологии,искусство и культура;техника;техника;искусство и культура,частная жизнь,наука и технологии
9894;политика и общественная жизнь;бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;политика и общественная жизнь
162;политика и общественная жизнь,спорт;политика и общественная жизнь,спорт;;
1807;политика и общественная жизнь;политика и общественная жизнь;;
8201;искусство и культура,религия;частная жизнь;частная жизнь;искусство и культура,религия
10692;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
6760;право,политика и общественная жизнь;политика и общественная жизнь,право;;
3142;здоровье и медицина;здоровье и медицина;;
8767;наука и технологии;частная жизнь;частная жизнь;наука и технологии
2996;право,администрация и управление;право;;администрация и управление
4020;администрация и управление;администрация и управление;;
10302;здоровье и медицина;здоровье и медицина;;
4417;природа;политика и общественная жизнь;политика и общественная жизнь;природа
9738;наука и технологии,образование;образование;;наука и технологии
3689;криминал;криминал;;
9618;строительство и архитектура,строительство;право;право;строительство и архитектура,строительство
3170;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
5566;сельское хозяйство;сельское хозяйство;;
4678;криминал;политика и общественная жизнь;политика и общественная жизнь;криминал
1740;криминал;криминал;;
8042;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
8679;дом и домашнее хозяйство;дом и домашнее хозяйство;;
6196;природа,образование;политика и общественная жизнь;политика и общественная жизнь;природа,образование
965;администрация и управление,криминал;криминал;;администрация и управление
6161;досуг, зрелища и развлечения;спорт;спорт;досуг, зрелища и развлечения
198;производство;бизнес;бизнес;производство
10808;криминал;криминал;;
8157;политика и общественная жизнь;политика и общественная жизнь;;
9630;спорт;спорт;;
2410;досуг, зрелища и развлечения;досуг, зрелища и развлечения;;
8958;досуг, зрелища и развлечения,спорт;спорт;;досуг, зрелища и развлечения
2754;техника;техника;;
5235;экономика,бизнес,бизнес, коммерция, экономика, финансы;право;право;бизнес,экономика,бизнес, коммерция, экономика, финансы
10248;образование,политика и общественная жизнь;наука и технологии,история,политика и общественная жизнь;наука и технологии,история;образование
1998;политика и общественная жизнь;политика и общественная жизнь;;
6599;право;право;;
9159;экономика,сельское хозяйство,бизнес,бизнес, коммерция, экономика, финансы;бизнес,сельское хозяйство;;бизнес, коммерция, экономика, финансы,экономика
6733;искусство и культура,религия;искусство и культура,религия;;
8130;спорт;спорт;;
7966;право;транспорт,право,спорт;спорт,транспорт;
746;политика и общественная жизнь;спорт;спорт;политика и общественная жизнь
1609;экономика,криминал,бизнес,бизнес, коммерция, экономика, финансы;криминал;;бизнес,экономика,бизнес, коммерция, экономика, финансы
6187;политика и общественная жизнь;политика и общественная жизнь;;
11686;частная жизнь;частная жизнь;;
2303;экономика,бизнес,бизнес, коммерция, экономика, финансы;экономика;;бизнес,бизнес, коммерция, экономика, финансы
11176;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
8504;политика и общественная жизнь;политика и общественная жизнь;;
8505;строительство и архитектура,строительство;строительство,строительство и архитектура;;
4747;политика и общественная жизнь;политика и общественная жизнь;;
1850;криминал;транспорт,спорт;спорт,транспорт;криминал
10770;политика и общественная жизнь;политика и общественная жизнь;;
5454;политика и общественная жизнь;политика и общественная жизнь;;
8365;армия и вооруженные конфликты;армия и вооруженные конфликты;;
10175;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы
259;образование;образование;;
6580;искусство и культура;искусство и культура;;
1956;происшествия;происшествия;;
1113;криминал;политика и общественная жизнь;политика и общественная жизнь;криминал
4108;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
10899;строительство и архитектура,строительство;наука и технологии,строительство,строительство и архитектура;наука и технологии;
5335;криминал;криминал;;
5417;здоровье и медицина,политика и общественная жизнь;политика и общественная жизнь;;здоровье и медицина
1922;администрация и управление;администрация и управление,политика и общественная жизнь;политика и общественная жизнь;
8690;наука и технологии;строительство,строительство и архитектура;строительство,строительство и архитектура;наука и технологии
11127;сельское хозяйство,политика и общественная жизнь;сельское хозяйство;;политика и общественная жизнь
4217;сельское хозяйство;сельское хозяйство;;
7576;частная жизнь;строительство,строительство и архитектура;строительство,строительство и архитектура;частная жизнь
6372;политика и общественная жизнь;политика и общественная жизнь;;
7833;экономика,бизнес,бизнес, коммерция, экономика, финансы;экономика;;бизнес,бизнес, коммерция, экономика, финансы
10172;политика и общественная жизнь;политика и общественная жизнь;;
2875;сельское хозяйство;сельское хозяйство;;
7671;политика и общественная жизнь;политика и общественная жизнь;;
7533;политика и общественная жизнь;природа;природа;политика и общественная жизнь
2176;криминал;криминал;;
4084;образование;образование,армия и вооруженные конфликты;армия и вооруженные конфликты;
2888;искусство и культура;искусство и культура;;
6169;экономика,бизнес,бизнес, коммерция, экономика, финансы;образование;образование;бизнес,экономика,бизнес, коммерция, экономика, финансы
7891;искусство и культура;искусство и культура;;
3083;транспорт,спорт;администрация и управление,транспорт,спорт;администрация и управление;
4557;политика и общественная жизнь;администрация и управление;администрация и управление;политика и общественная жизнь
7739;политика и общественная жизнь;политика и общественная жизнь;;
2110;экономика,бизнес,бизнес, коммерция, экономика, финансы;строительство;строительство;бизнес,экономика,бизнес, коммерция, экономика, финансы
9689;энергетика;строительство,энергетика;строительство;
2376;политика и общественная жизнь;политика и общественная жизнь;;
262;частная жизнь;политика и общественная жизнь;политика и общественная жизнь;частная жизнь
9126;производство;производство;;
3229;политика и общественная жизнь;сельское хозяйство;сельское хозяйство;политика и общественная жизнь
10024;искусство и культура;искусство и культура;;
4207;транспорт,спорт;транспорт,спорт;;
1554;сельское хозяйство,политика и общественная жизнь;сельское хозяйство,политика и общественная жизнь;;
8362;образование;образование;;
9712;экономика,бизнес,бизнес, коммерция, экономика, финансы;экономика;;бизнес,бизнес, коммерция, экономика, финансы
9312;дом и домашнее хозяйство;дом и домашнее хозяйство;;
5232;здоровье и медицина;здоровье и медицина;;
4946;политика и общественная жизнь;политика и общественная жизнь;;
8810;производство;экономика,бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы,экономика;производство
9982;экономика,криминал,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,криминал,бизнес, коммерция, экономика, финансы;;
10643;частная жизнь,политика и общественная жизнь;частная жизнь;;политика и общественная жизнь
11618;производство;производство,бизнес,экономика,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;
1499;происшествия;происшествия;;
2351;политика и общественная жизнь;криминал;криминал;политика и общественная жизнь
9251;транспорт,история,наука и технологии,спорт;транспорт,спорт;;наука и технологии,история
9933;администрация и управление;администрация и управление,бизнес,экономика,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;
5793;экология;экология;;
3954;право,экономика,бизнес,бизнес, коммерция, экономика, финансы,политика и общественная жизнь;политика и общественная жизнь,право,бизнес, коммерция, экономика, финансы;;бизнес,экономика
1016;происшествия;происшествия;;
2954;право;право;;
9303;политика и общественная жизнь;политика и общественная жизнь;;
7959;искусство и культура;искусство и культура;;
10924;политика и общественная жизнь;здоровье и медицина;здоровье и медицина;политика и общественная жизнь
4541;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
7184;здоровье и медицина;здоровье и медицина;;
9244;дом и домашнее хозяйство;дом и домашнее хозяйство;;
8045;политика и общественная жизнь;искусство и культура;искусство и культура;политика и общественная жизнь
5975;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы
10663;досуг, зрелища и развлечения,искусство и культура;администрация и управление;администрация и управление;искусство и культура,досуг, зрелища и развлечения
11142;политика и общественная жизнь;политика и общественная жизнь;;
1776;происшествия;религия;религия;происшествия
10378;дом и домашнее хозяйство;дом и домашнее хозяйство;;
7306;политика и общественная жизнь;политика и общественная жизнь;;
4441;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
9361;искусство и культура;искусство и культура;;
11699;политика и общественная жизнь;политика и общественная жизнь;;
1080;спорт;спорт;;
4432;политика и общественная жизнь;политика и общественная жизнь;;
6340;политика и общественная жизнь;администрация и управление;администрация и управление;политика и общественная жизнь
7993;строительство и архитектура,строительство;строительство,строительство и архитектура;;
10564;дом и домашнее хозяйство;дом и домашнее хозяйство;;
7699;здоровье и медицина,политика и общественная жизнь;право;право;здоровье и медицина,политика и общественная жизнь
1226;спорт;спорт;;
10571;происшествия;наука и технологии;наука и технологии;происшествия
10506;здоровье и медицина;здоровье и медицина;;
6498;строительство и архитектура,строительство;строительство и архитектура;;строительство
8950;досуг, зрелища и развлечения;частная жизнь;частная жизнь;досуг, зрелища и развлечения
7692;строительство и архитектура,строительство;администрация и управление,бизнес;бизнес,администрация и управление;строительство и архитектура,строительство
4522;политика и общественная жизнь;политика и общественная жизнь;;
4648;досуг, зрелища и развлечения;досуг, зрелища и развлечения;;
10860;администрация и управление,экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;бизнес,экономика,администрация и управление,бизнес, коммерция, экономика, финансы
4476;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы
20;экономика,досуг, зрелища и развлечения,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,политика и общественная жизнь,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;досуг, зрелища и развлечения
9150;экономика,бизнес,бизнес, коммерция, экономика, финансы;производство;производство;бизнес,экономика,бизнес, коммерция, экономика, финансы
6273;политика и общественная жизнь;политика и общественная жизнь;;
7759;здоровье и медицина,политика и общественная жизнь;здоровье и медицина,политика и общественная жизнь;;
2619;частная жизнь;политика и общественная жизнь,частная жизнь;политика и общественная жизнь;
8577;досуг, зрелища и развлечения;частная жизнь;частная жизнь;досуг, зрелища и развлечения
10526;спорт;спорт;;
5445;политика и общественная жизнь;политика и общественная жизнь;;
522;дом и домашнее хозяйство;политика и общественная жизнь;политика и общественная жизнь;дом и домашнее хозяйство
7398;сельское хозяйство;природа;природа;сельское хозяйство
11288;путешествия;путешествия;;
7168;сельское хозяйство;сельское хозяйство;;
2416;администрация и управление;происшествия;происшествия;администрация и управление
7517;право,частная жизнь;политика и общественная жизнь;политика и общественная жизнь;частная жизнь,право
3996;религия;религия;;
5009;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
6811;досуг, зрелища и развлечения;администрация и управление;администрация и управление;досуг, зрелища и развлечения
3613;здоровье и медицина;здоровье и медицина;;
7314;политика и общественная жизнь;политика и общественная жизнь;;
629;частная жизнь;политика и общественная жизнь;политика и общественная жизнь;частная жизнь
3870;политика и общественная жизнь;политика и общественная жизнь;;
5219;криминал;криминал;;
5145;экономика,бизнес,бизнес, коммерция, экономика, финансы;производство;производство;бизнес,экономика,бизнес, коммерция, экономика, финансы
10800;политика и общественная жизнь;политика и общественная жизнь;;
872;здоровье и медицина;здоровье и медицина;;
10533;искусство и культура;искусство и культура;;
6588;частная жизнь;криминал;криминал;частная жизнь
3164;транспорт,политика и общественная жизнь,спорт;политика и общественная жизнь;;спорт,транспорт
3573;политика и общественная жизнь;политика и общественная жизнь;;
1128;политика и общественная жизнь;политика и общественная жизнь;;
11018;строительство и архитектура,строительство;наука и технологии;наука и технологии;строительство и архитектура,строительство
133;природа,лесное хозяйство;природа;;лесное хозяйство
10625;искусство и культура;искусство и культура;;
5195;экология;бизнес,экономика,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;экология
11070;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
6796;здоровье и медицина;здоровье и медицина;;
11586;производство;бизнес;бизнес;производство
8515;политика и общественная жизнь;политика и общественная жизнь;;
5707;здоровье и медицина;здоровье и медицина;;
8289;политика и общественная жизнь;политика и общественная жизнь;;
4949;политика и общественная жизнь;политика и общественная жизнь;;
5963;криминал;криминал;;
1168;криминал;экономика,криминал,бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы,экономика;
9006;администрация и управление;администрация и управление;;
11764;частная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;частная жизнь
10091;строительство и архитектура,строительство;строительство,строительство и архитектура;;
9801;досуг, зрелища и развлечения;досуг, зрелища и развлечения;;
5659;строительство и архитектура,строительство;строительство,строительство и архитектура;;
7211;право,политика и общественная жизнь;право;;политика и общественная жизнь
261;происшествия;происшествия;;
862;экономика,бизнес,бизнес, коммерция, экономика, финансы;экономика;;бизнес,бизнес, коммерция, экономика, финансы
8126;искусство и культура;искусство и культура,политика и общественная жизнь;политика и общественная жизнь;
5251;досуг, зрелища и развлечения;путешествия;путешествия;досуг, зрелища и развлечения
10424;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы
4804;администрация и управление;администрация и управление;;
4214;искусство и культура;частная жизнь;частная жизнь;искусство и культура
10276;искусство и культура;искусство и культура;;
4312;политика и общественная жизнь;политика и общественная жизнь;;
2068;транспорт,политика и общественная жизнь,спорт;политика и общественная жизнь,транспорт;;спорт
5544;политика и общественная жизнь;администрация и управление,политика и общественная жизнь;администрация и управление;
3286;образование,политика и общественная жизнь;политика и общественная жизнь;;образование
11169;политика и общественная жизнь;политика и общественная жизнь;;
9074;администрация и управление;политика и общественная жизнь;политика и общественная жизнь;администрация и управление
6621;искусство и культура;искусство и культура;;
8776;администрация и управление,сельское хозяйство;администрация и управление,сельское хозяйство;;
5164;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы
1599;экономика,бизнес,бизнес, коммерция, экономика, финансы,политика и общественная жизнь;бизнес,экономика,политика и общественная жизнь,бизнес, коммерция, экономика, финансы;;
379;происшествия;происшествия;;
3373;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
7402;администрация и управление;бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;администрация и управление
457;политика и общественная жизнь;политика и общественная жизнь;;
9985;политика и общественная жизнь;политика и общественная жизнь;;
3965;политика и общественная жизнь;наука и технологии,политика и общественная жизнь,статистика;наука и технологии,статистика;
286;администрация и управление;политика и общественная жизнь;политика и общественная жизнь;администрация и управление
6957;политика и общественная жизнь;наука и технологии;наука и технологии;политика и общественная жизнь
1104;происшествия;происшествия;;
9158;образование,политика и общественная жизнь;политика и общественная жизнь;;образование
8191;криминал;криминал;;
7298;наука и технологии;наука и технологии;;
8583;производство;бизнес,экономика,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;производство
3779;образование;политика и общественная жизнь,образование;политика и общественная жизнь;
9918;досуг, зрелища и развлечения;досуг, зрелища и развлечения;;
3811;производство;производство;;
4447;частная жизнь;частная жизнь;;
3319;история,армия и вооруженные конфликты;история,армия и вооруженные конфликты;;
1639;политика и общественная жизнь;политика и общественная жизнь;;
6015;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
11525;политика и общественная жизнь;политика и общественная жизнь;;
10803;политика и общественная жизнь;политика и общественная жизнь;;
10484;строительство и архитектура,строительство;строительство,строительство и архитектура;;
8713;производство;производство,бизнес,экономика,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;
11483;частная жизнь;наука и технологии;наука и технологии;частная жизнь
9054;искусство и культура;искусство и культура;;
455;политика и общественная жизнь;политика и общественная жизнь;;
5753;сельское хозяйство,образование;дом и домашнее хозяйство,сельское хозяйство;дом и домашнее хозяйство;образование
4819;политика и общественная жизнь;политика и общественная жизнь;;
2246;происшествия;транспорт,спорт;спорт,транспорт;происшествия
9900;искусство и культура;искусство и культура,политика и общественная жизнь;политика и общественная жизнь;
1465;политика и общественная жизнь;политика и общественная жизнь;;
4538;политика и общественная жизнь;политика и общественная жизнь;;
4123;искусство и культура;искусство и культура;;
1796;криминал;криминал;;
5265;дом и домашнее хозяйство;дом и домашнее хозяйство;;
9217;политика и общественная жизнь;политика и общественная жизнь,транспорт;транспорт;
745;транспорт,спорт;транспорт,спорт;;
1195;политика и общественная жизнь;экономика;экономика;политика и общественная жизнь
43;частная жизнь;частная жизнь;;
10202;политика и общественная жизнь;политика и общественная жизнь;;
5170;образование;образование;;
6225;экономика,бизнес,бизнес, коммерция, экономика, финансы;экономика;;бизнес,бизнес, коммерция, экономика, финансы
10467;политика и общественная жизнь;политика и общественная жизнь;;
8260;экономика,производство,бизнес,бизнес, коммерция, экономика, финансы;производство;;бизнес,экономика,бизнес, коммерция, экономика, финансы
589;политика и общественная жизнь;политика и общественная жизнь;;
8406;экономика,бизнес,бизнес, коммерция, экономика, финансы;экономика,бизнес, коммерция, экономика, финансы;;бизнес
5536;досуг, зрелища и развлечения,образование;досуг, зрелища и развлечения,образование;;
9371;право;политика и общественная жизнь,право;политика и общественная жизнь;
11722;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;политика и общественная жизнь
9021;политика и общественная жизнь;политика и общественная жизнь;;
8022;наука и технологии;строительство и архитектура;строительство и архитектура;наука и технологии
1248;армия и вооруженные конфликты,политика и общественная жизнь;политика и общественная жизнь;;армия и вооруженные конфликты
2684;досуг, зрелища и развлечения;досуг, зрелища и развлечения;;
4159;политика и общественная жизнь;политика и общественная жизнь;;
11246;администрация и управление;бизнес,экономика,политика и общественная жизнь,бизнес, коммерция, экономика, финансы;бизнес,экономика,политика и общественная жизнь,бизнес, коммерция, экономика, финансы;администрация и управление
3169;криминал;политика и общественная жизнь;политика и общественная жизнь;криминал
10335;здоровье и медицина,политика и общественная жизнь;здоровье и медицина;;политика и общественная жизнь
8684;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;политика и общественная жизнь
11653;частная жизнь;частная жизнь;;
6042;экономика,бизнес,бизнес, коммерция, экономика, финансы;строительство и архитектура;строительство и архитектура;бизнес,экономика,бизнес, коммерция, экономика, финансы
5661;криминал;криминал;;
4961;образование,политика и общественная жизнь;частная жизнь;частная жизнь;политика и общественная жизнь,образование
4851;образование;администрация и управление,образование;администрация и управление;
10675;администрация и управление,политика и общественная жизнь;администрация и управление;;политика и общественная жизнь
1602;дом и домашнее хозяйство;дом и домашнее хозяйство;;
7364;образование;здоровье и медицина,политика и общественная жизнь,образование;здоровье и медицина,политика и общественная жизнь;
7353;администрация и управление;сельское хозяйство;сельское хозяйство;администрация и управление
5418;администрация и управление;администрация и управление;;
5772;досуг, зрелища и развлечения;экономика,досуг, зрелища и развлечения;экономика;
5738;политика и общественная жизнь;право;право;политика и общественная жизнь
5954;строительство и архитектура,строительство;экономика;экономика;строительство и архитектура,строительство
9002;политика и общественная жизнь;политика и общественная жизнь;;
5525;администрация и управление,экономика,криминал,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,криминал,бизнес, коммерция, экономика, финансы;;администрация и управление
2856;строительство и архитектура,строительство;строительство,строительство и архитектура,частная жизнь;частная жизнь;
